0,1,18
0,1,18
0,1,18
0,1,18
0,1,19
0,1,20
0,1,19
0,1,20
0,1,20
0,2,22
0,2,21
0,2,17
0,2,19
0,2,21
0,2,28
0,2,24
0,2,24
0,2,18
0,3,21
0,3,21
0,3,22
0,3,22
0,3,23
0,3,27
0,3,19
0,3,20
0,3,19
0,4,29
0,4,29
0,4,34
0,4,38
0,4,34
0,4,36
0,4,30
0,4,30
0,4,32
0,5,71
0,5,60
0,5,68
0,5,61
0,5,62
0,5,64
0,5,67
0,5,65
0,5,62
0,6,2389
0,6,2486
0,6,2462
0,6,2420
0,6,2403
0,6,2494
0,6,2596
0,6,2591
0,6,2595
1,0,20
1,0,18
1,0,24
1,0,26
1,0,18
1,0,24
1,0,18
1,0,21
1,0,23
1,1,23
1,1,22
1,1,22
1,1,24
1,1,23
1,1,21
1,1,21
1,1,18
1,1,19
2,0,20
2,0,18
2,0,19
2,0,17
2,0,24
2,0,18
2,0,25
2,0,21
2,0,25
2,1,24
2,1,27
2,1,20
2,1,17
2,1,18
2,1,19
2,1,18
2,1,18
2,1,22
2,2,24
2,2,25
2,2,22
2,2,27
2,2,26
2,2,26
2,2,24
2,2,28
2,2,24
3,0,21
3,0,19
3,0,18
3,0,20
3,0,19
3,0,18
3,0,20
3,0,21
3,0,21
3,1,33
3,1,30
3,1,36
3,1,32
3,1,47
3,1,42
3,1,30
3,1,37
3,1,37
3,2,52
3,2,42
3,2,60
3,2,47
3,2,42
3,2,43
3,2,43
3,2,44
3,2,46
3,3,2274
3,3,2281
3,3,2370
3,3,2344
3,3,2233
3,3,2273
3,3,2215
3,3,2205
3,3,2220
4,0,28
4,0,27
4,0,27
4,0,29
4,0,27
4,0,27
4,0,27
4,0,27
4,0,27
4,1,17383
4,1,17404
4,1,17566
4,1,17991
4,1,17447
4,1,17494
4,1,17529
4,1,17814
4,1,17409
4,2,8880
4,2,8756
4,2,8683
4,2,8694
4,2,8704
4,2,8690
4,2,8801
4,2,8758
4,2,8846
5,0,79
5,0,82
5,0,83
5,0,89
5,0,80
5,0,80
5,0,80
5,0,83
5,0,82
5,1,2996
5,1,3097
5,1,3098
5,1,3089
5,1,3071
5,1,3049
5,1,3145
5,1,3015
5,1,2997
6,0,3766
6,0,3761
6,0,3783
6,0,3972
6,0,3787
6,0,3789
6,0,3914
6,0,3928
6,0,4004
